scanner,normal_wr,gem_state_wr,normal_er,gem_state_er,normal_pf,gem_state_pf,wr_delta,er_delta,spillover_finding
REVERSAL,60.87,69.44,0.7188,0.942,4.22,6.84,+8.57%,+0.2232R,"Gem state confirms macro turning-point velocity, boosting reversal follow-through."
PULLBACK_V2,53.21,61.15,0.538,0.745,3.01,4.62,+7.94%,+0.2070R,Pullbacks on Builder Gem days expand immediately without testing SL.
EOD_BREAKOUT,54.65,62.4,0.221,0.384,1.95,2.85,+7.75%,+0.1630R,Morning builder thrust predicts EOD breakout closing strength.
ACCUMULATION_VCP,53.55,59.8,0.251,0.392,2.08,2.94,+6.25%,+0.1410R,Contractions resolve with larger expansion range on Gem days.
MULTITF_1H,48.96,58.2,0.5502,0.812,2.45,4.1,+9.24%,+0.2618R,Intraday trend ignition synchs with Builder momentum.
MULTITF_5M,43.1,51.5,0.1801,0.325,1.62,2.45,+8.40%,+0.1449R,Microstructure noise drops drastically during active Gem states.
MULTIBAGGER,40.43,48.65,0.7018,1.045,2.41,3.75,+8.22%,+0.3432R,Early morning Builder thrust often marks Day 1 of multi-week runners.
WEALTH,34.24,39.8,0.299,0.442,1.58,2.15,+5.56%,+0.1430R,Weekly accumulation entries initiated on Gem days show lower adverse drawdowns.
SHORT_COVERING,38.2,28.5,0.246,0.051,1.54,1.08,-9.70%,-0.1950R,Expected inverse effect: Short covering is suppressed on strong Bull Gem days (correct regime decoupling).
TECHNICAL_AHAT,38.5,45.2,0.16,0.285,1.39,1.95,+6.70%,+0.1250R,Confluence setups experience higher follow-through.
