variant,hypothesis,features,window,threshold_family,primary_metric,secondary_metrics
B1,Price Momentum,Price_Return_1d > 0.5%,1D,0.5%,Expectancy (R),"WR, MFE, MAE"
B2,Price + Volume,B1 + RVOL >= 1.5,1D,1.5x,Expectancy (R),"WR, MFE, MAE"
B3,Price + Trend/Reclaim,B1 + Close > EMA20,1D,EMA20,Expectancy (R),"WR, MFE, MAE"
D1,Price + OI Contraction,Price > 0.5% + OI < -0.5%,1D,-0.5%,Expectancy (R),"WR, 95% CI"
D2,Price + High Prior OI,Price > 0.5% + Crowding >= 75th,1D,75th pctile,Expectancy (R),"WR, 95% CI"
D3,Price + Prior OI Build + OI Contraction,Build > 0 + Price > 0.5% + OI < -0.5%,1D,Build+Drop,Expectancy (R),"WR, 95% CI"
D4,D3 + Volume,D3 + RVOL >= 1.5,1D,1.5x,Expectancy (R),"WR, 95% CI"
D5,D3 + Relative Strength,D3 + RS vs Nifty > 0,1D,RS > 0,Expectancy (R),"WR, 95% CI"
D6,D3 + Level Reclaim,D3 + Close > 5-day High,1D,5d High,Expectancy (R),"WR, 95% CI"
D7,D3 + Expiry Interaction,D3 + DTE <= 4 days,1D,<= 4 DTE,Expectancy (R),"WR, 95% CI"
D8,3-Day Positioning Unwind,3D Price > 1.0% + 3D OI < -1.0%,3D,-1.0%,Expectancy (R),"WR, 95% CI"
D9,5-Day Positioning Unwind,5D Price > 1.5% + 5D OI < -1.5%,5D,-1.5%,Expectancy (R),"WR, 95% CI"
D10,10-Day Structural Unwind,10D Price > 2.0% + 10D OI < -2.0%,10D,-2.0%,Expectancy (R),"WR, 95% CI"
