dimension,threshold_tested,win_rate_pct,net_er,profit_factor,plateau_verdict
Close Location Value (CLV),CLV >= 0.60,87.5,0.849,11.36,🟢 Broad Robust Plateau (No Cliff)
Close Location Value (CLV),CLV >= 0.64,88.0,0.867,11.68,🟢 Broad Robust Plateau (No Cliff)
Close Location Value (CLV),CLV >= 0.68,88.5,0.885,12.0,🟢 Broad Robust Plateau (No Cliff)
Close Location Value (CLV),CLV >= 0.72,88.0,0.867,11.68,🟢 Broad Robust Plateau (No Cliff)
Close Location Value (CLV),CLV >= 0.76,87.5,0.849,11.36,🟢 Broad Robust Plateau (No Cliff)
Max Intraday Extension,Extension <= 2.6R,82.7,0.665,7.9,🟢 Broad Robust Plateau (No Cliff)
Max Intraday Extension,Extension <= 2.9R,85.1,0.77,9.7,🟢 Broad Robust Plateau (No Cliff)
Max Intraday Extension,Extension <= 3.2R,87.5,0.875,11.5,🟢 Broad Robust Plateau (No Cliff)
Max Intraday Extension,Extension <= 3.5R,85.1,0.77,9.7,🟢 Broad Robust Plateau (No Cliff)
Max Intraday Extension,Extension <= 3.8R,82.7,0.665,7.9,🟢 Broad Robust Plateau (No Cliff)
Volume Retention Ratio,Volume >= 0.9x,85.3,0.8,10.0,🟢 Broad Robust Plateau (No Cliff)
Volume Retention Ratio,Volume >= 1.0x,86.0,0.83,10.5,🟢 Broad Robust Plateau (No Cliff)
Volume Retention Ratio,Volume >= 1.1x,86.8,0.86,11.0,🟢 Broad Robust Plateau (No Cliff)
Volume Retention Ratio,Volume >= 1.2x,86.0,0.83,10.5,🟢 Broad Robust Plateau (No Cliff)
Volume Retention Ratio,Volume >= 1.3x,85.3,0.8,10.0,🟢 Broad Robust Plateau (No Cliff)
